"범죄별(1)","범죄별(2)",범죄별(3),발생지역별(1),2020
"형법범 (건)","강력범죄(흉악)",강도,경북,20
"형법범 (건)","강력범죄(흉악)",강도,경남,51
"형법범 (건)","강력범죄(흉악)",강도,제주,14
"형법범 (건)","강력범죄(흉악)",방화,계,1210
"형법범 (건)","강력범죄(흉악)",방화,서울,218
"형법범 (건)","강력범죄(흉악)",방화,부산,86
"형법범 (건)","강력범죄(흉악)",방화,대구,52
"형법범 (건)","강력범죄(흉악)",방화,인천,65
"형법범 (건)","강력범죄(흉악)",방화,광주,16
"형법범 (건)","강력범죄(흉악)",방화,대전,37
"형법범 (건)","강력범죄(흉악)",방화,울산,21
"형법범 (건)","강력범죄(흉악)",방화,세종,2
"형법범 (건)","강력범죄(흉악)",방화,경기,277
"형법범 (건)","강력범죄(흉악)",방화,강원,37
"형법범 (건)","강력범죄(흉악)",방화,충북,40
"형법범 (건)","강력범죄(흉악)",방화,충남,61
"형법범 (건)","강력범죄(흉악)",방화,전북,47
"형법범 (건)","강력범죄(흉악)",방화,전남,52
"형법범 (건)","강력범죄(흉악)",방화,경북,85
"형법범 (건)","강력범죄(흉악)",방화,경남,88
"형법범 (건)","강력범죄(흉악)",방화,제주,26
"형법범 (건)","강력범죄(흉악)",성폭력,계,30105
"형법범 (건)","강력범죄(흉악)",성폭력,서울,8285
"형법범 (건)","강력범죄(흉악)",성폭력,부산,1938
"형법범 (건)","강력범죄(흉악)",성폭력,대구,1099
"형법범 (건)","강력범죄(흉악)",성폭력,인천,1884
"형법범 (건)","강력범죄(흉악)",성폭력,광주,790
"형법범 (건)","강력범죄(흉악)",성폭력,대전,918
"형법범 (건)","강력범죄(흉악)",성폭력,울산,319
"형법범 (건)","강력범죄(흉악)",성폭력,세종,106
"형법범 (건)","강력범죄(흉악)",성폭력,경기,7179
"형법범 (건)","강력범죄(흉악)",성폭력,강원,769
"형법범 (건)","강력범죄(흉악)",성폭력,충북,811
"형법범 (건)","강력범죄(흉악)",성폭력,충남,1044
"형법범 (건)","강력범죄(흉악)",성폭력,전북,873
"형법범 (건)","강력범죄(흉악)",성폭력,전남,875
"형법범 (건)","강력범죄(흉악)",성폭력,경북,1079
"형법범 (건)","강력범죄(흉악)",성폭력,경남,1634
"형법범 (건)","강력범죄(흉악)",성폭력,제주,502
"형법범 (건)","강력범죄(폭력)",소계,계,210241
"형법범 (건)","강력범죄(폭력)",소계,서울,38551
"형법범 (건)","강력범죄(폭력)",소계,부산,15559
"형법범 (건)","강력범죄(폭력)",소계,대구,9674
"형법범 (건)","강력범죄(폭력)",소계,인천,14535
"형법범 (건)","강력범죄(폭력)",소계,광주,6136
"형법범 (건)","강력범죄(폭력)",소계,대전,6742
"형법범 (건)","강력범죄(폭력)",소계,울산,2775
"형법범 (건)","강력범죄(폭력)",소계,세종,634
"형법범 (건)","강력범죄(폭력)",소계,경기,52872
"형법범 (건)","강력범죄(폭력)",소계,강원,6085
"형법범 (건)","강력범죄(폭력)",소계,충북,6097
"형법범 (건)","강력범죄(폭력)",소계,충남,7260
"형법범 (건)","강력범죄(폭력)",소계,전북,6953
"형법범 (건)","강력범죄(폭력)",소계,전남,7395
"형법범 (건)","강력범죄(폭력)",소계,경북,9895
"형법범 (건)","강력범죄(폭력)",소계,경남,14994
"형법범 (건)","강력범죄(폭력)",소계,제주,4084
"형법범 (건)","강력범죄(폭력)",폭행,계,143600
"형법범 (건)","강력범죄(폭력)",폭행,서울,28699
"형법범 (건)","강력범죄(폭력)",폭행,부산,10288
"형법범 (건)","강력범죄(폭력)",폭행,대구,6229
"형법범 (건)","강력범죄(폭력)",폭행,인천,10756
"형법범 (건)","강력범죄(폭력)",폭행,광주,4420
"형법범 (건)","강력범죄(폭력)",폭행,대전,4791
"형법범 (건)","강력범죄(폭력)",폭행,울산,1760
"형법범 (건)","강력범죄(폭력)",폭행,세종,353
"형법범 (건)","강력범죄(폭력)",폭행,경기,37789
"형법범 (건)","강력범죄(폭력)",폭행,강원,3643
"형법범 (건)","강력범죄(폭력)",폭행,충북,3806
"형법범 (건)","강력범죄(폭력)",폭행,충남,4111
"형법범 (건)","강력범죄(폭력)",폭행,전북,4633
"형법범 (건)","강력범죄(폭력)",폭행,전남,4475
"형법범 (건)","강력범죄(폭력)",폭행,경북,5987
"형법범 (건)","강력범죄(폭력)",폭행,경남,9222
"형법범 (건)","강력범죄(폭력)",폭행,제주,2638
"형법범 (건)","강력범죄(폭력)",상해,계,36022
"형법범 (건)","강력범죄(폭력)",상해,서울,4243
"형법범 (건)","강력범죄(폭력)",상해,부산,3218
"형법범 (건)","강력범죄(폭력)",상해,대구,2142
"형법범 (건)","강력범죄(폭력)",상해,인천,1746
"형법범 (건)","강력범죄(폭력)",상해,광주,949
"형법범 (건)","강력범죄(폭력)",상해,대전,978
"형법범 (건)","강력범죄(폭력)",상해,울산,680
"형법범 (건)","강력범죄(폭력)",상해,세종,150
"형법범 (건)","강력범죄(폭력)",상해,경기,6996
"형법범 (건)","강력범죄(폭력)",상해,강원,1554
"형법범 (건)","강력범죄(폭력)",상해,충북,1279
