"죄종별","범죄발생지별","항목","단위","2016 년","2017 년","2018 년","2019 년","2020 년",
"강력범죄","전주시","범죄건수[건]","건","274","289","342","347","305",
"강력범죄","정읍시","범죄건수[건]","건","44","43","36","49","44",
"강력범죄","광양시","범죄건수[건]","건","59","53","74","61","59",
"강력범죄","나주시","범죄건수[건]","건","12","42","44","57","46",
"강력범죄","목포시","범죄건수[건]","건","165","146","165","182","138",
"강력범죄","순천시","범죄건수[건]","건","122","136","142","135","114",
"강력범죄","여수시","범죄건수[건]","건","106","127","130","101","143",
"강력범죄","경산시","범죄건수[건]","건","100","96","125","123","115",
"강력범죄","경주시","범죄건수[건]","건","108","105","99","111","109",
"강력범죄","구미시","범죄건수[건]","건","141","193","159","176","149",
"강력범죄","김천시","범죄건수[건]","건","40","55","60","57","48",
"강력범죄","문경시","범죄건수[건]","건","23","23","30","37","24",
"강력범죄","상주시","범죄건수[건]","건","30","35","38","44","35",
"강력범죄","안동시","범죄건수[건]","건","65","68","62","64","69",
"강력범죄","영주시","범죄건수[건]","건","25","20","31","40","43",
"강력범죄","영천시","범죄건수[건]","건","32","34","35","53","36",
"강력범죄","포항시","범죄건수[건]","건","192","217","196","191","193",
"강력범죄","거제시","범죄건수[건]","건","114","124","136","95","110",
"강력범죄","김해시","범죄건수[건]","건","188","202","196","182","172",
"강력범죄","밀양시","범죄건수[건]","건","31","28","47","42","41",
"강력범죄","사천시","범죄건수[건]","건","42","48","39","37","42",
"강력범죄","양산시","범죄건수[건]","건","128","128","112","111","127",
"강력범죄","진주시","범죄건수[건]","건","127","155","139","125","148",
"강력범죄","창원시","범죄건수[건]","건","357","399","374","413","386",
"강력범죄","통영시","범죄건수[건]","건","50","48","260","58","66",
"강력범죄","서귀포시","범죄건수[건]","건","128","92","110","118","103",
"강력범죄","제주시","범죄건수[건]","건","365","352","322","358","347",
"강력범죄","기타도시","범죄건수[건]","건","62","30","42","50","43",
"강력범죄","도시이외","범죄건수[건]","건","1470","1471","1503","1462","1383",
"살인기수","계","범죄건수[건]","건","356","301","309","297","308",
"살인기수","서울","범죄건수[건]","건","46","50","45","45","50",
"살인기수","부산","범죄건수[건]","건","29","21","26","22","21",
"살인기수","대구","범죄건수[건]","건","17","16","9","14","15",
"살인기수","인천","범죄건수[건]","건","20","11","23","20","12",
"살인기수","광주","범죄건수[건]","건","9","3","10","11","7",
"살인기수","대전","범죄건수[건]","건","16","8","4","7","9",
"살인기수","울산","범죄건수[건]","건","7","5","9","10","6",
"살인기수","세종","범죄건수[건]","건","1","1","2","2","4",
"살인기수","고양시","범죄건수[건]","건","6","4","3","5","4",
"살인기수","과천시","범죄건수[건]","건","-","-","-","-","-",
"살인기수","광명시","범죄건수[건]","건","1","1","1","1","1",
"살인기수","광주시","범죄건수[건]","건","3","1","2","-","3",
"살인기수","구리시","범죄건수[건]","건","1","-","2","1","-",
"살인기수","군포시","범죄건수[건]","건","-","-","-","1","3",
"살인기수","김포시","범죄건수[건]","건","2","1","1","6","2",
"살인기수","남양주시","범죄건수[건]","건","3","1","3","6","1",
"살인기수","동두천시","범죄건수[건]","건","1","-","2","1","1",
"살인기수","부천시","범죄건수[건]","건","6","2","4","5","5",
"살인기수","성남시","범죄건수[건]","건","5","4","7","2","5",
"살인기수","수원시","범죄건수[건]","건","10","2","7","5","10",
"살인기수","시흥시","범죄건수[건]","건","8","2","2","1","5",
"살인기수","안산시","범죄건수[건]","건","4","4","2","2","3",
"살인기수","안성시","범죄건수[건]","건","2","1","-","3","2",
"살인기수","안양시","범죄건수[건]","건","6","2","2","1","1",
"살인기수","양주시","범죄건수[건]","건","-","-","-","3","2",
"살인기수","여주시","범죄건수[건]","건","2","2","2","-","2",
"살인기수","오산시","범죄건수[건]","건","1","-","1","3","1",
"살인기수","용인시","범죄건수[건]","건","2","7","5","3","3",
"살인기수","의왕시","범죄건수[건]","건","1","-","-","1","-",
"살인기수","의정부시","범죄건수[건]","건","4","2","1","3","5",
"살인기수","이천시","범죄건수[건]","건","1","2","1","1","-",
"살인기수","파주시","범죄건수[건]","건","3","3","2","-","5",
"살인기수","평택시","범죄건수[건]","건","4","1","4","3","6",
"살인기수","포천시","범죄건수[건]","건","2","-","2","2","-",
"살인기수","하남시","범죄건수[건]","건","2","1","3","-","-",
"살인기수","화성시","범죄건수[건]","건","4","5","6","3","4",
"살인기수","강릉시","범죄건수[건]","건","-","1","2","1","-",
"살인기수","동해시","범죄건수[건]","건","-","2","1","-","1",
"살인기수","삼척시","범죄건수[건]","건","-","2","1","-","1",
"살인기수","속초시","범죄건수[건]","건","-","1","-","3","1",
"살인기수","원주시","범죄건수[건]","건","4","1","3","1","4",
"살인기수","춘천시","범죄건수[건]","건","3","3","3","-","5",
"살인기수","태백시","범죄건수[건]","건","-","-","2","-","-",
"살인기수","제천시","범죄건수[건]","건","1","4","1","-","1",
"살인기수","청주시","범죄건수[건]","건","1","6","8","4","1",
"살인기수","충주시","범죄건수[건]","건","2","3","1","1","2",
"살인기수","계룡시","범죄건수[건]","건","-","-","-","-","1",
"살인기수","공주시","범죄건수[건]","건","1","-","-","-","-",
"살인기수","논산시","범죄건수[건]","건","3","-","1","3","1",
"살인기수","당진시","범죄건수[건]","건","1","2","1","2","-",
"살인기수","보령시","범죄건수[건]","건","-","1","1","-","-",
"살인기수","서산시","범죄건수[건]","건","2","-","1","-","-",
"살인기수","아산시","범죄건수[건]","건","-","3","2","2","2",
"살인기수","천안시","범죄건수[건]","건","4","7","3","3","2",
"살인기수","군산시","범죄건수[건]","건","1","4","4","3","2",
"살인기수","김제시","범죄건수[건]","건","-","-","-","-","1",
"살인기수","남원시","범죄건수[건]","건","-","-","-","2","1",
"살인기수","익산시","범죄건수[건]","건","4","1","1","8","2",
